#{"source_key": "HNO", "source_url": "https://www.humanitarianresponse.info/", "source_date": "2017", "extract_date": "2017-06-01", "update_frequency": "Every year", "additional_metadata": {"Note on data": "Extracted from a variety of 2017 UNOCHA publications including Humanitarian Needs Overviews, Response Plans, Flash Appeals, Needs and Priorites, and Humanitarian Requirements Documents."}}
appealName,countryCode,sourceType,sourceURL,inNeedTotal,inNeedProtection,inNeedShelter-CCCM-NFI,inNeedEducation,inNeedEarlyRecoveryLivelihoods,inNeedFoodSecurity,inNeedHealth,inNeedNutrition,inNeedWASH,inNeedSGBV,inNeedRefugeeResponses,inNeedChildProtection,inNeedCholera
Afghanistan 2017,AFG,Humanitarian Needs Overview,https://www.humanitarianresponse.info/system/files/documents/files/afg_2017_hno_english.pdf,9300000,3700000,2100000,,,3200000,6300000,4300000,2300000,,1600000,,
Burkina Faso 2017,BFA,Humanitarian Needs Overview,http://reliefweb.int/sites/reliefweb.int/files/resources/burkina_2017_hno_17fev.pdf,861000,,,,,153000,,861000,,,,,
Burundi 2017,BDI,Humanitarian Needs Overview,https://www.humanitarianresponse.info/system/files/documents/files/hno_burundi_2017_fr_small.pdf,3000000,1800000,351000,582000,,2200000,3100000,1700000,2700000,,80000,,
Cameroon 2017,CMR,Humanitarian Needs Overview,https://drive.google.com/file/d/0B-omYVl2EUDiRjZsbHNWNkd6ZE0/view,2900000,1000000,656000,450000,1000000,2800000,1500000,516000,813000,454000,276000,580000,
Central African Republic 2017,CAF,Humanitarian Needs Overview,https://drive.google.com/file/d/0B-omYVl2EUDiUXVMSHBBX3h3QzA/view,2200000,2000000,800000,400000,1400000,2000000,1300000,200000,2200000,1600000,12800,,
Chad 2017,TCD,Humanitarian Needs Overview,http://reliefweb.int/sites/reliefweb.int/files/resources/tcd_str_hno2017_fr_20161216.pdf,4700000,700000,920418,600000,,4300000,1900000,1500000,1900000,,400000,,
Democratic Republic of the Congo 2017,COD,Humanitarian Needs Overview,https://www.humanitarianresponse.info/system/files/documents/files/drc_hno_2017_1.pdf,6900000,7300000,2100000,3000000,,4400000,6400000,4000000,6900000,,500000,,
Djibouti 2017,DJI,Humanitarian Response Plan,http://reliefweb.int/sites/reliefweb.int/files/resources/HRP%20Djib%202017.pdf,289338,70250,,,,196910,289338,100216,174828,,32500,,
DPR Korea Needs and Priorities 2017,PRK,Needs and Priorities,http://reliefweb.int/sites/reliefweb.int/files/resources/DPRK%20Needs%20and%20Priorities%202017.pdf,18000000,,,,,18000000,15400000,4600000,3500000,,,,
DRC Kasai Flash Appeal,COD,Flash Appeal - Target,https://www.humanitarianresponse.info/system/files/documents/files/drc_flash_appeal_kasai_26042017.pdf,1200000,,,,,,,,,,,,
Ethiopia 2017,ETH,Humanitarian Requirements Document,http://reliefweb.int/sites/reliefweb.int/files/resources/2017_hrd_40final_.pdf,9200000,590000,600000,2900000,,5600000,4370000,,9100000,,,,
Haiti 2017,HTI,Humanitarian Needs Overview,https://www.humanitarianresponse.info/system/files/documents/files/haiti_hno_2017.pdf,2700000,854000,800000,300000,911000,1500000,1800000,205000,1400000,,,,2200000
Iraq 2017,IRQ,Humanitarian Needs Overview,https://www.humanitarianresponse.info/system/files/documents/files/irq_2017_hno.pdf,11000000,8700000,3900000,3700000,5200000,3200000,9700000,,6300000,,,,
