#{"source_key": "HNO", "source_url": "https://www.humanitarianresponse.info/", "source_date": "2017", "extract_date": "2017-06-01", "update_frequency": "Every year", "additional_metadata": {"Note on data": "Extracted from a variety of 2017 UNOCHA publications including Humanitarian Needs Overviews, Response Plans, Flash Appeals, Needs and Priorites, and Humanitarian Requirements Documents."}}
appealName,countryCode,sourceType,sourceURL,inNeedTotal,inNeedProtection,inNeedShelter-CCCM-NFI,inNeedEducation,inNeedEarlyRecoveryLivelihoods,inNeedFoodSecurity,inNeedHealth,inNeedNutrition,inNeedWASH,inNeedSGBV,inNeedRefugeeResponses,inNeedChildProtection,inNeedCholera
Kenya Flash Appeal 2017,KEN,Flash Appeal,http://reliefweb.int/sites/reliefweb.int/files/resources/Kenyan_Flash_%20Appeal_15%20March%202017%20final.pdf,2600000,175655,,1200000,520000,2600000,2900000,553258,3000000,,,,
Libya 2017,LBY,Humanitarian Needs Overview,https://www.humanitarianresponse.info/system/files/documents/files/2017_libya_humanitarian_needs_overview_november_2016_1.pdf,1300000,1300000,600000,300000,,400000,1300000,,500000,,296000,,
Madagascar Flash Appeal 2017,MDG,Flash Appeal,http://reliefweb.int/sites/reliefweb.int/files/resources/2017_Flash_Appeal_MG_eng.002.002.pdf,433985,,55000,100000,230650,,250000,,168000,,,,
Madagascar Grand Sud 2016-2017,MDG,Humanitarian Strategic Response Plan,https://www.humanitarianresponse.info/system/files/documents/files/mcar_secheresse_prs_oct_2016-mai_2017_final_eng.pdf,850000,850000,,850000,,980000,850000,850000,850000,,,,
Mali 2017,MLI,Humanitarian Needs Overview,https://drive.google.com/file/d/0B-omYVl2EUDiWWpSWGJpaHU1NGs/view,3700000,590000,320000,220000,2120000,3530000,1370000,850000,1200000,,,,
Mauritania 2017,MRT,Integrated Humanitarian and Development Action Plan ,https://www.humanitarianresponse.info/system/files/documents/files/hwp_2017_mauritania_0.pdf,539000,371000,,,465000,493000,203000,165000,615000,,46000,,
Mozambique Cyclone Dineo Flash Appeal 2017,MOZ,Flash Appeal,http://reliefweb.int/sites/reliefweb.int/files/resources/Mozambique%20Flash%20Appeal_FINAL.pdf,550691,,,160000,,89000,150000,,,,,,
Myanmar 2017,MMR,Humanitarian Needs Overview,http://reliefweb.int/sites/reliefweb.int/files/resources/Ref_Doc_Humanitarian_Needs_Overview_HCT_2017.pdf,525448,244000,217500,141000,,383500,474000,122000,356000,,,,
Niger 2017,NER,Humanitarian Needs Overview,https://drive.google.com/file/d/0B-omYVl2EUDiMW0yWXNtMXF5TTQ/view,1927593,200000,400000,200000,,1300000,800000,1500000,1200000,,,,
Nigeria 2017,NGA,Humanitarian Needs Overview,https://drive.google.com/file/d/0B-omYVl2EUDiZEVJdXZyRl9oVG8/view,14000000,6700000,2400000,2966802,,5800000,12400000,6700000,3800000,1700000,,2100000,
Nigeria northeast 2017,NGA,Humanitarian Overview,https://www.humanitarianresponse.info/system/files/documents/files/15052017_ocha_nga_ne_sitrep_no_11_01_15_may_2017.pdf,8500000,6100000,5200000,2900000,8500000,5200000,6900000,2400000,3900000,,,,
Peru Flash Appeal 2017,PER,Flash Appeal,http://reliefweb.int/sites/reliefweb.int/files/resources/-PE-Flash_Appeal_ENG_1000_hrs_%28PUBLIC%29-20170410-CV-20519.pdf,1100000,517683,1250000,1638000,706220,445000,737641,,567000,,,,
Republic of South Sudan 2017,SSD,Humanitarian Needs Overview,http://reliefweb.int/sites/reliefweb.int/files/resources/South_Sudan_2017_Humanitarian_Needs_Overview.pdf,7500000,7300000,1900000,1300000,,5200000,5400000,1700000,5100000,,302809,,
Senegal 2017,SEN,Humanitarian Response Plan,https://www.humanitarianresponse.info/system/files/documents/files/hwp_2017_senegal_0.pdf,881000,,,,,881365,,860000,,,,,
Somalia 2017,SOM,Humanitarian Needs Overview,http://reliefweb.int/sites/reliefweb.int/files/resources/161124_som_hno_2017.pdf,5000000,1100000,1165000,3000000,,5000000,3300000,850050,3300000,,32232,,
Sudan 2017,SDN,Humanitarian Needs Overview,https://www.humanitarianresponse.info/en/operations/sudan/document/sudan-2017-humanitarian-needs-overview-0,4800000,3200000,1500000,1700000,2700000,3600000,4300000,2200000,3500000,,,,
Syria Humanitarian Needs Overview 2017,SYR,Humanitarian Needs Overview,http://hno-syria.org/#home,13500000,13500000,6300000,6100000,13800000,9000000,12800000,4400000,14900000,,,,
Syria regional refugee and resilience plan (3RP) 2017,SYR,Humanitarian Response Plan,https://www.humanitarianresponse.info/system/files/documents/files/2017_hrp_syria_170320_ds.pdf,,,,,,,,,,,,,
Ukraine Humanitarian Needs Overview 2017,UKR,Humanitarian Needs Overview,https://www.humanitarianresponse.info/system/files/documents/files/ukraine_humanitarian_needs_overview_2017_eng.pdf,3800000,2900000,600000,600000,,1100000,2200000,,3700000,,,,
Yemen 2017,YEM,Humanitarian Needs Overview,http://reliefweb.int/sites/reliefweb.int/files/resources/YEMEN%202017%20HNO_Final.pdf,18800000,11268000,4500000,2300000,,14120000,14800000,4500000,14500000,,460000,,
