#{"source_key": "WB", "source_url": "http://data.worldbank.org/indicator/NY.GNP.PCAP.PP.CD", "source_date": "2017-03-23", "extract_date": "2017-04-04", "update_frequency": "Every year"}
"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Channel Islands","CHI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4160","4620","5340","5860","6230","7060","7730","8330","8700","8580","9490","9900","10110","10500","11060","11870","13780","15020","15260","15180","17020","19140","20480","21690","22230","22760","",
"China","CHN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","990","1100","1270","1460","1670","1840","2040","2250","2420","2630","2900","3180","3520","3940","4440","5060","5870","6880","7680","8360","9290","10290","11320","12270","13460","14390","",
"Cote d'Ivoire","CIV","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1780","1810","1800","1770","1830","1940","2100","2180","2290","2290","2140","2100","2030","1950","2090","2320","2380","2440","2500","2540","2570","2450","2710","2890","3140","3260","",
"Cameroon","CMR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1710","1620","1570","1440","1450","1500","1560","1620","1700","1750","1780","1840","1920","2030","2140","2190","2310","2360","2430","2460","2490","2580","2670","2780","2960","3070","",
"Congo, Dem. Rep.","COD","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","750","680","600","530","470","450","480","450","440","400","400","380","390","410","440","460","480","510","520","530","560","580","610","630","680","720","",
"Congo, Rep.","COG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2820","2930","3120","2850","2850","1990","2030","2500","2700","2400","2600","2690","2850","2940","2810","2970","3150","3220","3610","3730","4120","4180","4470","4670","5220","6320","",
"Colombia","COL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4620","4830","5100","5300","5720","6050","6160","6380","6410","6150","6440","6580","6740","6990","7460","7950","8640","9350","9740","9890","10260","10970","11570","12250","12950","13550","",
"Comoros","COM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1020","970","1060","1080","1010","1040","1020","1050","1040","1050","1160","1190","1200","1220","1240","1290","1330","1360","1350","1350","1360","1390","1420","1470","1490","1490","",
"Cabo Verde","CPV","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1080","1100","1220","1320","1560","1760","1930","2130","2360","2590","2940","3060","3170","3330","3720","3990","4380","5250","5650","5590","5590","5910","5990","6110","6160","6320","",
"Costa Rica","CRI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4860","5070","5530","5910","6220","6410","6470","6760","7040","6560","7460","7760","8000","8380","8880","9420","10360","11410","12080","11720","12320","12940","13690","13960","14410","14910","",
"Caribbean small states","CSS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5364.59294893323","5609.26409085625","5784.41147297896","6254.26929286411","6461.56759295703","6876.67686628088","7297.68855892143","7436.1159859031","7654.99088810075","7974.44084414842","8376.33478775182","8581.86772450806","9092.50699814377","9837.23134904368","10586.3433379207","11263.8951149927","12454.9009741943","13199.354938423","13655.5700602484","13116.6716839771","13466.4857153686","13332.7375766423","13716.2981435932","14379.8982365165","14569.0993244998","15095.8425125507","",
"Cuba","CUB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8660","7950","7170","6210","6350","6570","7200","7500","7580","8140","8770","9260","9490","10050","10880","12490","14460","15830","16780","16980","17660","18630","","","","","",
"Curacao","CUW","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13390","13580","14740","14860","15690","16470","16710","17320","19980","19220","20540","22140","23140","23650","25290","27250","29350","32460","34110","33480","32290","33190","30900","29180","29370","31660","",
"Czech Republic","CZE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11670","12020","12630","13590","14340","14490","14670","15020","15840","17080","17510","18720","19820","20920","22310","24390","25980","25630","25580","26620","27250","28690","30200","31550","",
"Germany","DEU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19740","21130","21850","21930","22780","23520","24090","24550","25200","26140","27100","28300","28980","29720","31660","32250","34850","36970","38400","37910","40040","43770","44590","46360","48150","49090","",
"Djibouti","DJI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2000","1990","1880","1840","1790","1710","1680","1660","1700","1730","1760","1810","1980","2120","2220","","","","","","","","","","","",
"Dominica","DMA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4220","4330","4530","4740","4800","4950","5080","5340","5750","5690","5720","6170","6080","6700","6990","7270","8020","8670","9530","9590","9840","9970","9830","10130","10640","10500","",
"Denmark","DNK","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17730","18500","19320","19850","21330","22420","23420","24570","25510","26430","28050","29110","30280","30590","33060","34420","37780","39160","41650","40600","43500","45020","45520","47620","48650","49240","",
"Dominican Republic","DOM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3250","3350","3710","3930","4060","4300","4650","5020","5330","5670","6040","6190","6550","6410","6450","7380","8340","9190","9670","9710","10630","10890","11250","11710","12650","13600","",
"Algeria","DZA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6390","6270","6400","6340","6250","6420","6680","6820","7170","7360","7690","8170","8570","9270","9760","10490","10910","11700","12090","12160","12620","12900","13300","13520","13960","14310","",
"East Asia & Pacific (excluding high income)","EAP","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1426.8028470616","1543.7292110557","1720.1675460784","1926.60614581837","2153.10440449837","2360.68521829636","2585.21900472141","2776.95117739902","2789.41440850178","2961.28623845622","3220.49691777036","3461.74386241595","3753.92368728883","4189.62214805672","4649.38930870353","5199.0476858212","5903.83222778745","6757.59460272659","7427.89666191237","7948.56650899732","8741.1100098523","9526.17436212791","10389.3388707232","11172.1985221935","12124.5033548879","12893.5172170753","",
"Early-demographic dividend","EAR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2585.45379648531","2713.6217945403","2847.70559999154","3026.96128675319","3129.94753051408","3234.2839636066","3409.00287316305","3563.1988228402","3600.39439398883","3685.74086402919","3865.11879889137","3962.76526678111","4040.36552644552","4299.11004666506","4639.58166859815","5048.78213354139","5507.38828662289","5981.88246962433","6289.3102214189","6429.33888573088","6854.13701300423","7237.45910092774","7536.53101091726","7869.37018004504","8261.39901560206","8613.2413385251","",
"East Asia & Pacific","EAS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3173.16412577799","3395.41470566662","3621.40097723068","3874.44048645691","4175.9204016488","4475.21470326531","4794.37746592783","5046.7526505379","5032.6070042447","5264.03419276235","5662.24836074184","5954.66777682505","6317.97057020908","6792.21710908764","7384.6485575032","8021.87750047472","8850.48219508854","9829.24778704099","10474.7110626781","10837.7677209525","11769.5304680882","12604.6489082338","13513.0682944931","14401.2736583138","15336.8473537669","16127.6412743205","",
"Europe & Central Asia (excluding high income)","ECA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6386.44667009347","6201.12792439621","5631.4986013927","5403.28348578256","4904.94091586671","4885.74677968907","4951.15822198753","5137.34769163979","5107.32920709547","5270.04947514825","5898.94498685895","6292.72509891994","6729.21224557783","7391.16232558707","8299.34648381108","9281.98966059799","11055.0342629475","12330.028957071","14139.8328886427","13633.5272251004","14608.4060999645","16431.4720518534","17106.8657899836","17055.4039323791","17793.4608882633","17744.037976851","",
"Europe & Central Asia","ECS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11450.5616299875","11784.2521000372","11830.9451324219","11917.149138662","12155.593092043","12524.1494731591","12977.8960600397","13566.7550121812","14054.7834124701","14619.4596807371","15769.9660769324","16581.8170259693","17317.4145037009","17981.5773936191","19142.809434401","20183.7073926328","22291.5081689021","23783.5745741233","25274.7456490163","24677.3781618417","25803.9319604049","27414.3593091043","28008.7781594265","28677.4316381495","29524.2082488822","30039.6890251095","",
"Ecuador","ECU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4450","4750","4920","5050","5290","5420","5480","5720","5820","5380","5400","5790","6080","6250","6810","7330","7790","8040","8710","8710","9030","9770","10360","10880","11330","11270","",
"Egypt, Arab Rep.","EGY","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3790","3930","4120","4230","4450","4690","4950","5240","5420","5720","6050","6300","6360","6550","6870","7280","7930","8610","9240","9490","9700","9810","10010","10130","10330","10710","",
"Euro area","EMU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17018.682204411","17954.7761360885","18527.6202958791","18766.1395703201","19526.1169305854","20397.2516002162","21072.7734399039","21926.9859448663","22894.6924639598","23855.9779670809","25332.6776426372","26499.963396584","27392.9792537132","27849.1292410073","29118.7449623467","30156.5996233601","32662.3093465561","34427.7943379533","35597.9653477103","34948.5747646307","36012.3729820649","37601.9800901433","38004.372389384","39249.7094881311","40124.3090530647","41179.3970598869","",
"Eritrea","ERI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","750","870","1080","1140","1230","1330","1350","1340","1280","1370","1380","1310","1320","1360","1360","1380","1240","1270","1290","1400","","","","","",
"Spain","ESP","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13520","14300","14670","14850","15250","16130","16740","17700","18850","19790","21440","22720","24090","24850","25960","27300","30300","31800","32570","31830","31540","31510","31860","32660","33690","34880","",
"Estonia","EST","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9060","9840","11050","12360","13720","15870","18270","20440","21470","19900","20480","23310","25080","27030","28150","28390","",
"Ethiopia","ETH","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","420","390","350","390","400","420","460","470","450","460","490","520","530","510","580","650","720","810","890","950","1050","1160","1250","1370","1500","1620","",
"European Union","EUU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14874.7167367453","15569.7956720426","16058.4203459266","16372.51205756","17183.3192665614","17844.4575941668","18574.0957025201","19408.6732873878","20280.8943439908","21091.5822678085","22539.5148835588","23669.6650357725","24632.5682820811","25256.400121719","26556.5938969195","27543.5932154721","29796.6645437248","31443.4558265131","32736.7194932621","32089.2464127868","33306.8409923428","34746.6813777719","35261.1618536069","36496.3233877757","37460.0167056667","38490.6124818505","",
"Fragile and conflict affected situations","FCS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1787.9432905688","1367.46217832461","1459.03205478666","1578.30397572668","1630.83053014504","1676.10403038957","1781.16789145496","1919.38382630872","2156.85248253307","2301.49410954582","2355.5165686848","2418.70516076021","2358.02970259479","2200.9051737798","2566.18558747284","2783.8492382701","3019.28907150886","3197.74987444421","3386.85615946235","3470.84656382107","3607.67340909601","3400.80077899487","3631.3012636116","3674.7118271217","3862.38125185981","3875.93139624202","",
"Finland","FIN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17830","17050","16540","16630","17710","18970","19610","21440","23080","24520","26570","27820","28650","28810","31360","32130","34710","37810","40040","38350","39340","40870","40830","41470","41900","42600","",
"Fiji","FJI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3670","3680","3930","4050","4230","4490","4770","4670","4670","5120","5390","5450","5800","5920","6390","6710","6630","6800","6920","6950","6980","7260","7440","8100","8480","8850","",
"France","FRA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17720","18480","19140","19410","20170","20940","21650","22630","23770","24930","26680","28180","28930","28610","29590","31140","33200","34860","35910","35390","36760","38320","38180","40090","40680","41680","",
"Faroe Islands","FRO","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2380","2380","2440","2380","2400","2340","2400","2580","2680","2730","2840","2860","3040","3140","3200","3160","3330","3390","3540","3670","3700","3600","4120","",
"Gabon","GAB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11300","12070","11290","11510","12240","12560","12910","13530","14110","12630","11920","12580","12960","12930","12440","13860","12970","13550","13180","13380","13900","14750","16130","16980","18510","18880","",
"United Kingdom","GBR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16800","17150","17760","18580","19990","19600","20850","22300","23350","23960","26210","27630","29090","30400","32190","33040","34720","35530","36190","34520","36200","36900","37430","38820","40210","40900","",
"Georgia","GEO","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5180","4190","2330","1660","1530","1600","1900","2310","2470","2600","2690","2830","3030","3470","3870","4410","5100","5850","6080","5990","6390","7100","7950","8380","9130","9340","",
