#{"source_key": "WB", "source_url": "http://data.worldbank.org/indicator/NY.GNP.PCAP.PP.CD", "source_date": "2017-03-23", "extract_date": "2017-04-04", "update_frequency": "Every year"}
"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","890","940","940","1040","1100","1250","1290","1530","1640","1730","1960","1970","1960","1940","",
"Angola","AGO","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2070","2690","1750","1300","1040","1730","2030","2320","2370","2280","2480","2580","2480","2600","2840","3290","3930","4910","5270","5720","5740","5920","6020","6390","6590","6470","",
"Albania","ALB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2720","1950","1830","2130","2400","2830","3180","2900","3300","3770","4140","4600","4870","5250","5660","6060","6830","7490","8270","8680","9550","10180","10450","10600","11170","11310","",
"Andorra","AND","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6720.36701373782","6550.88790866638","6913.26729541514","7137.73994376068","7260.91648984047","7406.09592354292","7706.26258389647","8043.23743526715","8502.02296431852","8695.61445979763","9047.10327158096","9281.86897434153","9245.88169520145","9520.94523986203","10519.1590549411","11303.6582966656","12255.0183157741","13032.5359340767","13760.7946987502","13726.0254830108","14076.8826159522","14439.1163438325","15179.4098515373","15502.7103358229","16002.6728241682","16428.8063810517","",
"United Arab Emirates","ARE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87630","83060","85530","88260","85690","84520","77880","69960","59850","56230","57610","61160","64670","67330","70020","",
"Argentina","ARG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6690","7790","8910","9580","10210","9960","10550","11460","11850","11480","11520","11110","9500","10550","11740","13320","14860","16560","17390","16200","17810","19230","19250","19850","19500","20010","",
"Armenia","ARM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2330","2220","1130","1180","1420","1580","1780","1950","2080","2190","2380","2690","3120","3630","4120","4910","5790","6830","7520","6410","6690","7050","7700","8210","8500","8770","",
"American Samoa","ASM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9800","10680","10940","11790","12440","11840","12180","13210","13630","14030","14440","14430","14580","15670","16710","18260","21130","23500","23600","20760","19590","19290","20030","20460","21460","22280","",
"Australia","AUS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16660","17080","17590","18600","19520","20260","21270","22220","23450","24480","25610","26630","27900","28850","30420","31350","32990","34930","35950","38850","37650","40090","41300","44430","45060","45320","",
"Austria","AUT","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19460","20480","21220","21670","22550","23470","24470","25260","26430","27300","29000","29330","30970","31930","33600","34760","37560","39070","41360","40690","42260","44390","46280","47890","48760","49160","",
"Azerbaijan","AZE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3360","2720","2410","2420","2630","2890","3110","3340","3710","4120","4650","5100","6280","8570","10560","12310","13720","14600","14590","14870","16210","17000","17170","",
"Burundi","BDI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","670","710","710","670","650","600","550","550","570","560","570","570","580","560","580","590","630","650","680","680","690","710","730","750","770","730","",
"Belgium","BEL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18810","19790","20460","20870","22100","23000","23410","24480","25120","26220","28670","29550","30990","31630","32690","33720","35890","37340","39030","38090","41320","41610","43320","44220","45400","45660","",
"Benin","BEN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","920","960","960","1020","1020","1070","1100","1160","1190","1240","1300","1350","1390","1410","1470","1500","1560","1640","1710","1710","1710","1760","1810","1930","2030","2050","",
"Burkina Faso","BFA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","540","600","600","610","620","650","720","750","790","840","850","900","920","990","1030","1120","1200","1240","1300","1310","1390","1470","1550","1590","1610","1660","",
"Bangladesh","BGD","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","850","890","940","990","1030","1080","1120","1170","1220","1270","1350","1420","1480","1560","1660","1800","1980","2160","2340","2450","2600","2780","3000","3180","3350","3560","",
"Bulgaria","BGR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4780","4450","4670","4750","4940","5140","5400","5500","5890","5670","6210","6970","7930","8520","9280","10300","11100","11970","13720","13680","14650","15180","15990","16280","17260","17880","",
"Bahrain","BHR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19010","26430","27180","29320","28940","30960","32100","31560","32710","32900","34630","34440","34030","35420","36730","38430","39060","40090","39060","34940","35500","34170","35590","37380","37620","38660","",
"Bahamas, The","BHS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14840","14380","14330","14220","14710","18250","20690","16740","18080","19230","20130","20720","21190","21010","21380","22070","22780","23260","23160","21760","21770","22020","22690","22560","22250","21970","",
"Bosnia and Herzegovina","BIH","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","820","1040","2150","3020","4500","4820","4980","5150","5460","5630","6070","6630","7490","8260","9150","9130","9190","9600","9770","10340","10550","10900","",
"Belarus","BLR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5220","5330","4920","4640","4180","3830","4030","4570","5030","5320","5780","6220","6690","7380","8510","9680","10990","12230","13740","13760","15060","16410","16820","17040","17720","16920","",
"Belize","BLZ","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3290","3650","4080","4350","4350","4370","4360","4440","4450","4670","5170","5310","5540","5900","6050","6290","6610","6530","6720","7060","6990","7350","7520","7590","7800","8020","",
"Bermuda","BMU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26490","26490","27070","28390","28970","30660","","","","","","","","","","","","75090","74800","68450","68910","68110","67140","66670","","","",
"Bolivia","BOL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2280","2440","2520","2630","2770","2900","3050","3180","3330","3320","3400","3480","3550","3610","3770","4020","4280","4510","4830","4910","5070","5330","5540","5910","6320","6710","",
"Brazil","BRA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6450","6680","6720","7050","7360","7740","8010","8250","8130","8100","8570","8770","9070","9220","9930","10440","11030","11870","12510","12470","13880","14580","14750","15110","15650","15050","",
"Barbados","BRB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8300","8270","8050","8260","8600","8900","9370","9980","10380","10480","11140","11060","11260","11700","12130","12820","13700","14530","14620","14260","14660","14340","15060","15160","15400","15610","",
"Brunei Darussalam","BRN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55120","57100","59460","59370","60870","63250","64630","63240","62140","63630","65560","67570","69950","72120","73190","74540","78850","80110","78660","76680","77420","79130","80340","79780","78870","82140","",
"Bhutan","BTN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1410","1420","1490","1610","1800","1870","2030","2200","2140","2220","2850","3060","3290","3490","3680","4000","4350","5100","5270","5490","6000","6450","6690","6910","7330","7630","",
"Botswana","BWA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5090","5740","5940","6290","5740","6420","6450","7120","7500","7620","7710","8090","7680","8400","8630","9400","10420","11480","12190","11660","12300","13540","14250","15150","15660","15510","",
"Central African Republic","CAF","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","590","600","560","560","570","620","590","620","640","660","650","680","700","670","710","730","780","820","840","850","870","900","940","590","600","620","",
"Canada","CAN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19320","19330","19630","20440","21580","22470","23050","24240","25220","26650","28310","29070","29850","31230","32870","35230","37270","38670","39500","38100","39270","40810","41600","43420","44230","43900","",
"Central Europe and the Baltics","CEB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6355.67927616643","6657.46210932277","7162.18975250805","7684.29880907428","8202.08805899154","8576.85791633477","8959.09965546828","9252.15228441098","9902.57064127451","10694.1659562205","11447.8250358035","12059.225489697","12971.7839453269","13873.6658332107","15338.4978335166","16874.5003161082","18825.0802591839","18875.5803446262","20024.6282464969","21317.8506821031","22167.2538734454","23244.9107092209","24246.8224839814","25251.3722198911","",
"Switzerland","CHE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28150","28490","28730","29240","29760","30580","31360","33250","34510","35750","38050","38330","38730","40140","41620","43910","48380","49840","48960","52690","56140","56460","58900","60970","61880","64100","",
