Country,Total Refugee and people in refugee-like situations,Total population of concern,PopTotal,GrowthRatePercent,PopDensity,Percent Refugees In Population,Percent In Humanitarian Need In Population,Total Reported Funding,Funding Through Appeals Or Response Plans,Number of Emergencies,Number of Appeals or Plans
Lebanon,1035701,1054240,6039277.0,-0.2926,590.35,0.171494203694,0.174563942008,353797736,241600000,1,2
South Sudan,263752,2231226,13096190.0,2.581,21.436,0.0201395978525,0.170372146403,537447482,438500000,1,1
Colombia,245,7126970,49067981.0,0.8136,44.225,4.99307277387e-06,0.145246856601,11806403,0,1,1
Latvia,253,252591,1944565.0,-0.4528,31.263,0.000130106219129,0.129895889312,,,,
Iraq,282331,4736216,38654287.0,2.7985,89.0,0.00730400227018,0.12252757372,288445061,140400000,2,2
Yemen,268486,3371418,28119546.0,2.2463,53.26,0.00954802044101,0.119895890211,353859280,312100000,1,1
Somalia,10027,1168436,11391962.0,2.8654,18.159,0.000880182009034,0.102566704489,541899293,375000000,1,1
Jordan,691769,721429,7876703.0,1.3707,88.722,0.0878246901019,0.0915902249964,176269161,130800000,1,1
Sudan,351450,3619575,42166323.0,2.4128,23.89,0.00833485053937,0.0858404229366,56184948,3300000,1,1
Nauru,506,796,10301.0,0.3392,515.05,0.0491214445199,0.077274051063,,,,
Libya,9300,472471,6408742.0,1.4951,3.642,0.00145114282959,0.073722892886,20103557,17400000,1,1
Georgia,2048,274149,3972532.0,0.0289,57.167,0.000515540214654,0.0690111495641,1513274,0,1,0
Estonia,226,84203,1305755.0,-0.2572,30.803,0.000173079942256,0.0644860636184,,,,
Azerbaijan,1251,623315,9973697.0,0.9617,120.662,0.000125429918314,0.0624958829208,1129433,0,1,0
Brunei Darussalam,0,20524,434448.0,1.2489,82.438,0.0,0.0472415571023
Afghanistan,54920,1513074,34169169.0,2.2186,52.338,0.00160729691729,0.0442818495235
Côte d'Ivoire,1895,1023011,23815886.0,2.3712,74.893,7.95687382783e-05,0.0429549839128
Bosnia and Herzegovina,6782,157618,3792759.0,-0.2762,74.368,0.00178814419793,0.0415576101724
Turkey,2773827,3006301,80417526.0,0.8281,104.489,0.0344928169016,0.0373836544039
Ukraine,3241,1644836,44405055.0,-0.5307,76.65,7.29871858058e-05,0.0370416386152
Sweden,186404,348539,9920624.0,0.6675,24.177,0.0187895438835,0.0351327698742
Chad,386050,512314,14965482.0,3.1468,11.885,0.0257960284874,0.0342330437469
Montenegro,1637,16049,626250.0,-0.0016,46.561,0.00261397205589,0.0256271457086
Myanmar,0,1392097,54836483.0,0.862,83.939,0.0,0.0253863290248
Kuwait,807,94695,4099932.0,1.8537,230.075,0.000196832532832,0.023096724531
Cameroon,343289,544945,24513689.0,2.4103,51.858,0.0140039714137,0.0222302322592
Djibouti,16696,19893,911382.0,1.2863,39.318,0.0183194313691,0.0218272908616
South Africa,122392,1201874,55436360.0,0.7733,45.698,0.00220779286375,0.0216802474044
Honduras,23,176247,8304677.0,1.3823,74.222,2.76952372741e-06,0.021222619495
Austria,82217,166375,8592400.0,0.247,104.265,0.00956857222662,0.0193630417578
Malta,7684,8126,420521.0,0.2057,1314.128,0.0182725714055,0.0193236485217
Zimbabwe,6903,308563,16337760.0,2.2729,42.233,0.000422518142022,0.0188864936197
Uganda,512623,727063,41652938.0,3.2309,208.463,0.0123070070111,0.0174552632998
