organization_id,organization_name,totalFunding,plan_id,plan_code,plan_name,countryCode
2966.0,European Commission,159,541,HBDI17,Burundi 2017,BDI
,Not specified,6946,541,HBDI17,Burundi 2017,BDI
2921.0,"Sweden, Government of",3192216,537,HCMR17,Cameroon 2017,CMR
4537.0,"Japan, Government of",4040000,537,HCMR17,Cameroon 2017,CMR
2928.0,"Canada, Government of",3822156,537,HCMR17,Cameroon 2017,CMR
8523.0,European Commission's Humanitarian Aid and Civil Protection Department,8662437,537,HCMR17,Cameroon 2017,CMR
4762.0,Central Emergency Response Fund,10005413,537,HCMR17,Cameroon 2017,CMR
2933.0,"United States of America, Government of",20184864,537,HCMR17,Cameroon 2017,CMR
3049.0,World Food Programme,2500000,537,HCMR17,Cameroon 2017,CMR
2930.0,"Norway, Government of",653831,537,HCMR17,Cameroon 2017,CMR
2924.0,"Switzerland, Government of",731708,537,HCMR17,Cameroon 2017,CMR
4314.0,"France, Government of",912997,537,HCMR17,Cameroon 2017,CMR
4306.0,"Germany, Government of",2034903,537,HCMR17,Cameroon 2017,CMR
,Not specified,350890,537,HCMR17,Cameroon 2017,CMR
2917.0,"United Kingdom, Government of",4831943,537,HCMR17,Cameroon 2017,CMR
2929.0,"Korea, Republic of, Government of",2000000,537,HCMR17,Cameroon 2017,CMR
4543.0,Private (individuals & organizations),210222,537,HCMR17,Cameroon 2017,CMR
4845.0,"Iceland, Government of",150000,537,HCMR17,Cameroon 2017,CMR
4306.0,"Germany, Government of",9500562,549,HCAF17,Central African Republic 2017,CAF
2917.0,"United Kingdom, Government of",9161939,549,HCAF17,Central African Republic 2017,CAF
2921.0,"Sweden, Government of",4417623,549,HCAF17,Central African Republic 2017,CAF
5295.0,"Finland, Government of",617615,549,HCAF17,Central African Republic 2017,CAF
2928.0,"Canada, Government of",6790956,549,HCAF17,Central African Republic 2017,CAF
4543.0,Private (individuals & organizations),180899,549,HCAF17,Central African Republic 2017,CAF
4537.0,"Japan, Government of",5957000,549,HCAF17,Central African Republic 2017,CAF
8523.0,European Commission's Humanitarian Aid and Civil Protection Department,8491576,549,HCAF17,Central African Republic 2017,CAF
2933.0,"United States of America, Government of",8625000,549,HCAF17,Central African Republic 2017,CAF
4314.0,"France, Government of",805585,549,HCAF17,Central African Republic 2017,CAF
4384.0,"Luxembourg, Government of",371550,549,HCAF17,Central African Republic 2017,CAF
,Not specified,1263709,549,HCAF17,Central African Republic 2017,CAF
3049.0,World Food Programme,22251984,549,HCAF17,Central African Republic 2017,CAF
3776.0,"Denmark, Government of",1141227,549,HCAF17,Central African Republic 2017,CAF
8.0,United Nations Office for Project Services,680000,549,HCAF17,Central African Republic 2017,CAF
4539.0,UNICEF National Committee/Spain,63551,549,HCAF17,Central African Republic 2017,CAF
2919.0,UNICEF National Committee/Netherlands,526248,549,HCAF17,Central African Republic 2017,CAF
2924.0,"Switzerland, Government of",993049,549,HCAF17,Central African Republic 2017,CAF
2966.0,European Commission,2249194,549,HCAF17,Central African Republic 2017,CAF
4762.0,Central Emergency Response Fund,6000028,549,HCAF17,Central African Republic 2017,CAF
4543.0,Private (individuals & organizations),2154337,532,HTCD17,Chad 2017,TCD
2928.0,"Canada, Government of",7206618,532,HTCD17,Chad 2017,TCD
2921.0,"Sweden, Government of",2970003,532,HTCD17,Chad 2017,TCD
4537.0,"Japan, Government of",6366640,532,HTCD17,Chad 2017,TCD
3049.0,World Food Programme,689470,532,HTCD17,Chad 2017,TCD
2976.0,"China, Government of",4000000,532,HTCD17,Chad 2017,TCD
5319.0,"Spain, Government of",123799,532,HTCD17,Chad 2017,TCD
8523.0,European Commission's Humanitarian Aid and Civil Protection Department,24178768,532,HTCD17,Chad 2017,TCD
4314.0,"France, Government of",221020,532,HTCD17,Chad 2017,TCD
4762.0,Central Emergency Response Fund,3561841,532,HTCD17,Chad 2017,TCD
,Not specified,305001,532,HTCD17,Chad 2017,TCD
2652.0,"Malta, Government of",10672,532,HTCD17,Chad 2017,TCD
2933.0,"United States of America, Government of",17443780,532,HTCD17,Chad 2017,TCD
2924.0,"Switzerland, Government of",2138346,532,HTCD17,Chad 2017,TCD
4306.0,"Germany, Government of",390190,532,HTCD17,Chad 2017,TCD
2930.0,"Norway, Government of",174297,532,HTCD17,Chad 2017,TCD
2928.0,"Canada, Government of",1486989,592,OPRK17,DPR Korea Needs and Priorities 2017,PRK
2921.0,"Sweden, Government of",785980,592,OPRK17,DPR Korea Needs and Priorities 2017,PRK
4762.0,Central Emergency Response Fund,5996745,592,OPRK17,DPR Korea Needs and Priorities 2017,PRK
3049.0,World Food Programme,963000,592,OPRK17,DPR Korea Needs and Priorities 2017,PRK
,Not specified,7738917,592,OPRK17,DPR Korea Needs and Priorities 2017,PRK
4314.0,"France, Government of",102041,592,OPRK17,DPR Korea Needs and Priorities 2017,PRK
2933.0,"United States of America, Government of",1000000,592,OPRK17,DPR Korea Needs and Priorities 2017,PRK
3006.0,"Russian Federation, Government of",3000000,592,OPRK17,DPR Korea Needs and Priorities 2017,PRK
2928.0,"Canada, Government of",7563332,587,HCOD17,Democratic Republic of the Congo 2017,COD
2933.0,"United States of America, Government of",84585623,587,HCOD17,Democratic Republic of the Congo 2017,COD
4306.0,"Germany, Government of",1139064,587,HCOD17,Democratic Republic of the Congo 2017,COD
2930.0,"Norway, Government of",702837,587,HCOD17,Democratic Republic of the Congo 2017,COD
4762.0,Central Emergency Response Fund,9611948,587,HCOD17,Democratic Republic of the Congo 2017,COD
8523.0,European Commission's Humanitarian Aid and Civil Protection Department,16467192,587,HCOD17,Democratic Republic of the Congo 2017,COD
4537.0,"Japan, Government of",5441000,587,HCOD17,Democratic Republic of the Congo 2017,COD
,Not specified,6637247,587,HCOD17,Democratic Republic of the Congo 2017,COD
2924.0,"Switzerland, Government of",1427770,587,HCOD17,Democratic Republic of the Congo 2017,COD
3049.0,World Food Programme,7859844,587,HCOD17,Democratic Republic of the Congo 2017,COD
2927.0,"Belgium, Government of",607118,587,HCOD17,Democratic Republic of the Congo 2017,COD
4314.0,"France, Government of",214823,587,HCOD17,Democratic Republic of the Congo 2017,COD
2921.0,"Sweden, Government of",11097597,587,HCOD17,Democratic Republic of the Congo 2017,COD
4543.0,Private (individuals & organizations),71458,587,HCOD17,Democratic Republic of the Congo 2017,COD
2917.0,"United Kingdom, Government of",1875000,587,HCOD17,Democratic Republic of the Congo 2017,COD
3009.0,"Ireland, Government of",144077,587,HCOD17,Democratic Republic of the Congo 2017,COD
4293.0,United Nations Population Fund,220000,587,HCOD17,Democratic Republic of the Congo 2017,COD
2928.0,"Canada, Government of",520446,539,HDJI17,Djibouti 2017,DJI
2933.0,"United States of America, Government of",3550114,539,HDJI17,Djibouti 2017,DJI
,Not specified,7660,539,HDJI17,Djibouti 2017,DJI
3049.0,World Food Programme,1198400,539,HDJI17,Djibouti 2017,DJI
8523.0,European Commission's Humanitarian Aid and Civil Protection Department,322234,539,HDJI17,Djibouti 2017,DJI
4537.0,"Japan, Government of",488720,539,HDJI17,Djibouti 2017,DJI
2933.0,"United States of America, Government of",86785749,588,HETH17,Ethiopia 2017,ETH
4539.0,UNICEF National Committee/Spain,76966,588,HETH17,Ethiopia 2017,ETH
2921.0,"Sweden, Government of",12218020,588,HETH17,Ethiopia 2017,ETH
4762.0,Central Emergency Response Fund,18512690,588,HETH17,Ethiopia 2017,ETH
5295.0,"Finland, Government of",800636,588,HETH17,Ethiopia 2017,ETH
4306.0,"Germany, Government of",13623230,588,HETH17,Ethiopia 2017,ETH
8523.0,European Commission's Humanitarian Aid and Civil Protection Department,38574816,588,HETH17,Ethiopia 2017,ETH
2928.0,"Canada, Government of",7369136,588,HETH17,Ethiopia 2017,ETH
3009.0,"Ireland, Government of",2059817,588,HETH17,Ethiopia 2017,ETH
4537.0,"Japan, Government of",7605230,588,HETH17,Ethiopia 2017,ETH
3774.0,"Italy, Government of",1996175,588,HETH17,Ethiopia 2017,ETH
2924.0,"Switzerland, Government of",4620180,588,HETH17,Ethiopia 2017,ETH
2930.0,"Norway, Government of",336139,588,HETH17,Ethiopia 2017,ETH
3776.0,"Denmark, Government of",1428464,588,HETH17,Ethiopia 2017,ETH
4384.0,"Luxembourg, Government of",265393,588,HETH17,Ethiopia 2017,ETH
1573.0,"Ethiopia, Government of",395662,588,HETH17,Ethiopia 2017,ETH
,Not specified,340341,588,HETH17,Ethiopia 2017,ETH
3049.0,World Food Programme,6955000,588,HETH17,Ethiopia 2017,ETH
4546.0,"Austria, Government of",533618,588,HETH17,Ethiopia 2017,ETH
4543.0,Private (individuals & organizations),76408,588,HETH17,Ethiopia 2017,ETH
2917.0,"United Kingdom, Government of",12242268,588,HETH17,Ethiopia 2017,ETH
3778.0,UNICEF National Committee/Germany,85379,588,HETH17,Ethiopia 2017,ETH
2927.0,"Belgium, Government of",152845,588,HETH17,Ethiopia 2017,ETH
2932.0,"Czech Republic, Government of",256102,588,HETH17,Ethiopia 2017,ETH
5369.0,"New Zealand, Government of",105392,588,HETH17,Ethiopia 2017,ETH
2933.0,"United States of America, Government of",19489634,543,HHTI17,Haiti 2017,HTI
2917.0,"United Kingdom, Government of",2853088,543,HHTI17,Haiti 2017,HTI
825.0,Friends of UNFPA,719690,543,HHTI17,Haiti 2017,HTI
3049.0,World Food Programme,2503800,543,HHTI17,Haiti 2017,HTI
4543.0,Private (individuals & organizations),123035,543,HHTI17,Haiti 2017,HTI
5295.0,"Finland, Government of",68370,543,HHTI17,Haiti 2017,HTI
85.0,"Peru, Government of",10319,543,HHTI17,Haiti 2017,HTI
2928.0,"Canada, Government of",1742787,543,HHTI17,Haiti 2017,HTI
8575.0,World Vision Taiwan,284562,543,HHTI17,Haiti 2017,HTI
8461.0,World Vision Australia,346196,543,HHTI17,Haiti 2017,HTI
4058.0,US Fund for UNICEF,142000,543,HHTI17,Haiti 2017,HTI
,Not specified,473857,543,HHTI17,Haiti 2017,HTI
2986.0,International Organization for Migration,689792,543,HHTI17,Haiti 2017,HTI
8523.0,European Commission's Humanitarian Aid and Civil Protection Department,12029763,543,HHTI17,Haiti 2017,HTI
3778.0,UNICEF National Committee/Germany,20672,543,HHTI17,Haiti 2017,HTI
5319.0,"Spain, Government of",261506,543,HHTI17,Haiti 2017,HTI
4539.0,UNICEF National Committee/Spain,1468058,543,HHTI17,Haiti 2017,HTI
8516.0,ACF - Spain,928221,543,HHTI17,Haiti 2017,HTI
4306.0,"Germany, Government of",267380,543,HHTI17,Haiti 2017,HTI
4835.0,"Argentina, Government of",1244591,543,HHTI17,Haiti 2017,HTI
2921.0,"Sweden, Government of",111769,543,HHTI17,Haiti 2017,HTI
4537.0,"Japan, Government of",2586585,543,HHTI17,Haiti 2017,HTI
2924.0,"Switzerland, Government of",1988072,543,HHTI17,Haiti 2017,HTI
5352.0,UNICEF National Committee/Canada,33366,543,HHTI17,Haiti 2017,HTI
2928.0,"Canada, Government of",36503723,550,HIRQ17,Iraq 2017,IRQ
4537.0,"Japan, Government of",54956350,550,HIRQ17,Iraq 2017,IRQ
2924.0,"Switzerland, Government of",3369950,550,HIRQ17,Iraq 2017,IRQ
4306.0,"Germany, Government of",23083200,550,HIRQ17,Iraq 2017,IRQ
4829.0,"Slovenia, Government of",32017,550,HIRQ17,Iraq 2017,IRQ
3003.0,"Estonia, Government of",160085,550,HIRQ17,Iraq 2017,IRQ
2927.0,"Belgium, Government of",3623189,550,HIRQ17,Iraq 2017,IRQ
2917.0,"United Kingdom, Government of",15319688,550,HIRQ17,Iraq 2017,IRQ
2921.0,"Sweden, Government of",11696554,550,HIRQ17,Iraq 2017,IRQ
5295.0,"Finland, Government of",3144183,550,HIRQ17,Iraq 2017,IRQ
4546.0,"Austria, Government of",3422033,550,HIRQ17,Iraq 2017,IRQ
2930.0,"Norway, Government of",305581,550,HIRQ17,Iraq 2017,IRQ
2933.0,"United States of America, Government of",74489389,550,HIRQ17,Iraq 2017,IRQ
4543.0,Private (individuals & organizations),929250,550,HIRQ17,Iraq 2017,IRQ
8523.0,European Commission's Humanitarian Aid and Civil Protection Department,52114644,550,HIRQ17,Iraq 2017,IRQ
3008.0,"Netherlands, Government of",5336179,550,HIRQ17,Iraq 2017,IRQ
3009.0,"Ireland, Government of",2123142,550,HIRQ17,Iraq 2017,IRQ
4391.0,"Australia, Government of",4464285,550,HIRQ17,Iraq 2017,IRQ
4384.0,"Luxembourg, Government of",422297,550,HIRQ17,Iraq 2017,IRQ
3139.0,OPEC Fund for International Development,400000,550,HIRQ17,Iraq 2017,IRQ
2932.0,"Czech Republic, Government of",156986,550,HIRQ17,Iraq 2017,IRQ
5319.0,"Spain, Government of",10672,550,HIRQ17,Iraq 2017,IRQ
5315.0,UNICEF National Committee/United Kingdom,122399,550,HIRQ17,Iraq 2017,IRQ
4331.0,"Liechtenstein, Government of",99305,550,HIRQ17,Iraq 2017,IRQ
,Not specified,9694,550,HIRQ17,Iraq 2017,IRQ
3049.0,World Food Programme,14980000,550,HIRQ17,Iraq 2017,IRQ
2443.0,"Andorra, Government of",8004,550,HIRQ17,Iraq 2017,IRQ
4314.0,"France, Government of",2900108,550,HIRQ17,Iraq 2017,IRQ
4762.0,Central Emergency Response Fund,10000001,550,HIRQ17,Iraq 2017,IRQ
2927.0,"Belgium, Government of",140499,589,FKEN17,Kenya Flash Appeal 2017,KEN
2928.0,"Canada, Government of",743494,589,FKEN17,Kenya Flash Appeal 2017,KEN
4306.0,"Germany, Government of",730623,589,FKEN17,Kenya Flash Appeal 2017,KEN
3774.0,"Italy, Government of",533618,589,FKEN17,Kenya Flash Appeal 2017,KEN
8523.0,European Commission's Humanitarian Aid and Civil Protection Department,2900108,589,FKEN17,Kenya Flash Appeal 2017,KEN
4762.0,Central Emergency Response Fund,10329268,589,FKEN17,Kenya Flash Appeal 2017,KEN
2921.0,"Sweden, Government of",5600768,589,FKEN17,Kenya Flash Appeal 2017,KEN
4321.0,UNICEF National Committee/Sweden,621188,589,FKEN17,Kenya Flash Appeal 2017,KEN
3776.0,"Denmark, Government of",1212821,589,FKEN17,Kenya Flash Appeal 2017,KEN
3049.0,World Food Programme,1712000,589,FKEN17,Kenya Flash Appeal 2017,KEN
4537.0,"Japan, Government of",500000,589,FKEN17,Kenya Flash Appeal 2017,KEN
4848.0,"Kenya, Government of",6246,589,FKEN17,Kenya Flash Appeal 2017,KEN
,Not specified,62287,589,FKEN17,Kenya Flash Appeal 2017,KEN
4306.0,"Germany, Government of",2092050,533,HLBY17,Libya 2017,LBY
87.0,"Qatar, Government of",1000000,533,HLBY17,Libya 2017,LBY
2933.0,"United States of America, Government of",4875000,533,HLBY17,Libya 2017,LBY
4537.0,"Japan, Government of",1379500,533,HLBY17,Libya 2017,LBY
,Not specified,783575,533,HLBY17,Libya 2017,LBY
3049.0,World Food Programme,1236215,533,HLBY17,Libya 2017,LBY
4762.0,Central Emergency Response Fund,5997815,533,HLBY17,Libya 2017,LBY
2921.0,"Sweden, Government of",1229645,533,HLBY17,Libya 2017,LBY
4546.0,"Austria, Government of",542888,533,HLBY17,Libya 2017,LBY
8523.0,European Commission's Humanitarian Aid and Civil Protection Department,3246205,533,HLBY17,Libya 2017,LBY
3774.0,"Italy, Government of",375768,533,HLBY17,Libya 2017,LBY
2928.0,"Canada, Government of",1784386,533,HLBY17,Libya 2017,LBY
2966.0,European Commission,426896,590,FMDG17,Madagascar Flash Appeal 2017,MDG
4537.0,"Japan, Government of",4458315,590,FMDG17,Madagascar Flash Appeal 2017,MDG
4762.0,Central Emergency Response Fund,4999601,590,FMDG17,Madagascar Flash Appeal 2017,MDG
2929.0,"Korea, Republic of, Government of",50000,590,FMDG17,Madagascar Flash Appeal 2017,MDG
8523.0,European Commission's Humanitarian Aid and Civil Protection Department,4235419,590,FMDG17,Madagascar Flash Appeal 2017,MDG
,Not specified,56818,590,FMDG17,Madagascar Flash Appeal 2017,MDG
4293.0,United Nations Population Fund,205800,590,FMDG17,Madagascar Flash Appeal 2017,MDG
2921.0,"Sweden, Government of",885054,590,FMDG17,Madagascar Flash Appeal 2017,MDG
2924.0,"Switzerland, Government of",1255484,590,FMDG17,Madagascar Flash Appeal 2017,MDG
3049.0,World Food Programme,2867600,590,FMDG17,Madagascar Flash Appeal 2017,MDG
2933.0,"United States of America, Government of",549937,590,FMDG17,Madagascar Flash Appeal 2017,MDG
2921.0,"Sweden, Government of",5075605,535,HMLI17,Mali 2017,MLI
4537.0,"Japan, Government of",1747000,535,HMLI17,Mali 2017,MLI
4762.0,Central Emergency Response Fund,6905824,535,HMLI17,Mali 2017,MLI
4340.0,UNICEF National Committee/Norway,190423,535,HMLI17,Mali 2017,MLI
8523.0,European Commission's Humanitarian Aid and Civil Protection Department,19709192,535,HMLI17,Mali 2017,MLI
2928.0,"Canada, Government of",1629665,535,HMLI17,Mali 2017,MLI
4306.0,"Germany, Government of",5380226,535,HMLI17,Mali 2017,MLI
3776.0,"Denmark, Government of",2354635,535,HMLI17,Mali 2017,MLI
2930.0,"Norway, Government of",336139,535,HMLI17,Mali 2017,MLI
4858.0,"Monaco, Government of",84926,535,HMLI17,Mali 2017,MLI
2933.0,"United States of America, Government of",3780,535,HMLI17,Mali 2017,MLI
2924.0,"Switzerland, Government of",994036,535,HMLI17,Mali 2017,MLI
8523.0,European Commission's Humanitarian Aid and Civil Protection Department,2069694,547,HMRT17,Mauritania 2017,MRT
4537.0,"Japan, Government of",5516000,547,HMRT17,Mauritania 2017,MRT
3774.0,"Italy, Government of",542888,547,HMRT17,Mauritania 2017,MRT
2928.0,"Canada, Government of",114329,586,FMOZ17,Mozambique Cyclone Dineo Flash Appeal 2017,MOZ
4762.0,Central Emergency Response Fund,1800090,586,FMOZ17,Mozambique Cyclone Dineo Flash Appeal 2017,MOZ
2933.0,"United States of America, Government of",295500,586,FMOZ17,Mozambique Cyclone Dineo Flash Appeal 2017,MOZ
2924.0,"Switzerland, Government of",4228026,545,HMMR17,Myanmar 2017,MMR
5295.0,"Finland, Government of",537057,545,HMMR17,Myanmar 2017,MMR
2921.0,"Sweden, Government of",2350969,545,HMMR17,Myanmar 2017,MMR
2928.0,"Canada, Government of",1954899,545,HMMR17,Myanmar 2017,MMR
4537.0,"Japan, Government of",7500000,545,HMMR17,Myanmar 2017,MMR
4762.0,Central Emergency Response Fund,4359153,545,HMMR17,Myanmar 2017,MMR
4384.0,"Luxembourg, Government of",265111,545,HMMR17,Myanmar 2017,MMR
8523.0,European Commission's Humanitarian Aid and Civil Protection Department,6790092,545,HMMR17,Myanmar 2017,MMR
2933.0,"United States of America, Government of",5887602,545,HMMR17,Myanmar 2017,MMR
4306.0,"Germany, Government of",1628664,545,HMMR17,Myanmar 2017,MMR
2932.0,"Czech Republic, Government of",156986,545,HMMR17,Myanmar 2017,MMR
3776.0,"Denmark, Government of",581571,545,HMMR17,Myanmar 2017,MMR
2930.0,"Norway, Government of",566107,545,HMMR17,Myanmar 2017,MMR
2917.0,"United Kingdom, Government of",7456029,545,HMMR17,Myanmar 2017,MMR
8839.0,Humanitarian Innovation Fund,16662,545,HMMR17,Myanmar 2017,MMR
,Not specified,133,545,HMMR17,Myanmar 2017,MMR
4391.0,"Australia, Government of",1504891,545,HMMR17,Myanmar 2017,MMR
3049.0,World Food Programme,42800,545,HMMR17,Myanmar 2017,MMR
4314.0,"France, Government of",364513,530,HNER17,Niger 2017,NER
,Not specified,9278754,530,HNER17,Niger 2017,NER
2933.0,"United States of America, Government of",58384964,530,HNER17,Niger 2017,NER
2777.0,"Niger, Government of",4379442,530,HNER17,Niger 2017,NER
2966.0,European Commission,5004025,530,HNER17,Niger 2017,NER
2928.0,"Canada, Government of",4361262,530,HNER17,Niger 2017,NER
2921.0,"Sweden, Government of",2973604,530,HNER17,Niger 2017,NER
4537.0,"Japan, Government of",8301401,530,HNER17,Niger 2017,NER
3774.0,"Italy, Government of",2058854,530,HNER17,Niger 2017,NER
4762.0,Central Emergency Response Fund,10058848,530,HNER17,Niger 2017,NER
8523.0,European Commission's Humanitarian Aid and Civil Protection Department,28417227,530,HNER17,Niger 2017,NER
2924.0,"Switzerland, Government of",986193,530,HNER17,Niger 2017,NER
4306.0,"Germany, Government of",1293996,530,HNER17,Niger 2017,NER
2930.0,"Norway, Government of",707146,530,HNER17,Niger 2017,NER
2684.0,UN Peacebuilding Fund,326390,530,HNER17,Niger 2017,NER
3049.0,World Food Programme,2247000,530,HNER17,Niger 2017,NER
3776.0,"Denmark, Government of",284398,530,HNER17,Niger 2017,NER
2924.0,"Switzerland, Government of",7803966,536,HNGA17,Nigeria 2017,NGA
2917.0,"United Kingdom, Government of",4959466,536,HNGA17,Nigeria 2017,NGA
2921.0,"Sweden, Government of",22293948,536,HNGA17,Nigeria 2017,NGA
2933.0,"United States of America, Government of",90697707,536,HNGA17,Nigeria 2017,NGA
2652.0,"Malta, Government of",32017,536,HNGA17,Nigeria 2017,NGA
4537.0,"Japan, Government of",7539000,536,HNGA17,Nigeria 2017,NGA
4306.0,"Germany, Government of",23636542,536,HNGA17,Nigeria 2017,NGA
3139.0,OPEC Fund for International Development,400000,536,HNGA17,Nigeria 2017,NGA
2930.0,"Norway, Government of",9795435,536,HNGA17,Nigeria 2017,NGA
2928.0,"Canada, Government of",16753425,536,HNGA17,Nigeria 2017,NGA
4831.0,Arab Gulf Programme for United Nations Development Organizations,25000,536,HNGA17,Nigeria 2017,NGA
2733.0,"Sri Lanka, Government of",1250,536,HNGA17,Nigeria 2017,NGA
2976.0,"China, Government of",5000000,536,HNGA17,Nigeria 2017,NGA
4543.0,Private (individuals & organizations),276247,536,HNGA17,Nigeria 2017,NGA
5295.0,"Finland, Government of",2134472,536,HNGA17,Nigeria 2017,NGA
4762.0,Central Emergency Response Fund,21997157,536,HNGA17,Nigeria 2017,NGA
8523.0,European Commission's Humanitarian Aid and Civil Protection Department,37837153,536,HNGA17,Nigeria 2017,NGA
4314.0,"France, Government of",727337,536,HNGA17,Nigeria 2017,NGA
3774.0,"Italy, Government of",3257329,536,HNGA17,Nigeria 2017,NGA
2783.0,"Azerbaijan, Government of",12500,536,HNGA17,Nigeria 2017,NGA
3776.0,"Denmark, Government of",142653,536,HNGA17,Nigeria 2017,NGA
5352.0,UNICEF National Committee/Canada,91559,536,HNGA17,Nigeria 2017,NGA
2929.0,"Korea, Republic of, Government of",2000000,536,HNGA17,Nigeria 2017,NGA
3778.0,UNICEF National Committee/Germany,106724,536,HNGA17,Nigeria 2017,NGA
2927.0,"Belgium, Government of",500000,536,HNGA17,Nigeria 2017,NGA
,Not specified,9134,536,HNGA17,Nigeria 2017,NGA
4384.0,"Luxembourg, Government of",266809,536,HNGA17,Nigeria 2017,NGA
4293.0,United Nations Population Fund,147847,536,HNGA17,Nigeria 2017,NGA
3049.0,World Food Programme,7293284,536,HNGA17,Nigeria 2017,NGA
2933.0,"United States of America, Government of",500000,593,FPER17,Peru Flash Appeal 2017,PER
2921.0,"Sweden, Government of",280804,593,FPER17,Peru Flash Appeal 2017,PER
4762.0,Central Emergency Response Fund,4397962,593,FPER17,Peru Flash Appeal 2017,PER
4293.0,United Nations Population Fund,300000,593,FPER17,Peru Flash Appeal 2017,PER
4306.0,"Germany, Government of",325733,593,FPER17,Peru Flash Appeal 2017,PER
2921.0,"Sweden, Government of",11102440,538,HSSD17,Republic of South Sudan 2017,SSD
4391.0,"Australia, Government of",11367478,538,HSSD17,Republic of South Sudan 2017,SSD
2930.0,"Norway, Government of",7547212,538,HSSD17,Republic of South Sudan 2017,SSD
4384.0,"Luxembourg, Government of",632234,538,HSSD17,Republic of South Sudan 2017,SSD
3776.0,"Denmark, Government of",22889978,538,HSSD17,Republic of South Sudan 2017,SSD
2924.0,"Switzerland, Government of",11829093,538,HSSD17,Republic of South Sudan 2017,SSD
4543.0,Private (individuals & organizations),4560683,538,HSSD17,Republic of South Sudan 2017,SSD
5295.0,"Finland, Government of",2698382,538,HSSD17,Republic of South Sudan 2017,SSD
3009.0,"Ireland, Government of",4515096,538,HSSD17,Republic of South Sudan 2017,SSD
2928.0,"Canada, Government of",25547449,538,HSSD17,Republic of South Sudan 2017,SSD
3778.0,UNICEF National Committee/Germany,53362,538,HSSD17,Republic of South Sudan 2017,SSD
4537.0,"Japan, Government of",16663200,538,HSSD17,Republic of South Sudan 2017,SSD
4306.0,"Germany, Government of",15801115,538,HSSD17,Republic of South Sudan 2017,SSD
3049.0,World Food Programme,258088675,538,HSSD17,Republic of South Sudan 2017,SSD
2933.0,"United States of America, Government of",125778581,538,HSSD17,Republic of South Sudan 2017,SSD
,Not specified,92246333,538,HSSD17,Republic of South Sudan 2017,SSD
8523.0,European Commission's Humanitarian Aid and Civil Protection Department,56280421,538,HSSD17,Republic of South Sudan 2017,SSD
4762.0,Central Emergency Response Fund,20255231,538,HSSD17,Republic of South Sudan 2017,SSD
