organization_id,organization_name,totalFunding,plan_id,plan_code,plan_name,countryCode
2921.0,"Sweden, Government of",9945214,544,HAFG17,Afghanistan 2017,AFG
2917.0,"United Kingdom, Government of",18072289,544,HAFG17,Afghanistan 2017,AFG
2933.0,"United States of America, Government of",6300000,544,HAFG17,Afghanistan 2017,AFG
4537.0,"Japan, Government of",10549150,544,HAFG17,Afghanistan 2017,AFG
4391.0,"Australia, Government of",9893950,544,HAFG17,Afghanistan 2017,AFG
2976.0,"China, Government of",1000000,544,HAFG17,Afghanistan 2017,AFG
4306.0,"Germany, Government of",14990502,544,HAFG17,Afghanistan 2017,AFG
3776.0,"Denmark, Government of",11514384,544,HAFG17,Afghanistan 2017,AFG
2928.0,"Canada, Government of",8149650,544,HAFG17,Afghanistan 2017,AFG
3049.0,World Food Programme,12795953,544,HAFG17,Afghanistan 2017,AFG
2924.0,"Switzerland, Government of",1873789,544,HAFG17,Afghanistan 2017,AFG
,Not specified,602764,544,HAFG17,Afghanistan 2017,AFG
2966.0,European Commission,5902864,544,HAFG17,Afghanistan 2017,AFG
850.0,Start Fund,132842,544,HAFG17,Afghanistan 2017,AFG
8523.0,European Commission's Humanitarian Aid and Civil Protection Department,7231270,544,HAFG17,Afghanistan 2017,AFG
2930.0,"Norway, Government of",4521707,544,HAFG17,Afghanistan 2017,AFG
3008.0,"Netherlands, Government of",1800000,544,HAFG17,Afghanistan 2017,AFG
4537.0,"Japan, Government of",1486000,548,HBFA17,Burkina Faso 2017,BFA
4543.0,Private (individuals & organizations),154446,548,HBFA17,Burkina Faso 2017,BFA
8523.0,European Commission's Humanitarian Aid and Civil Protection Department,533618,548,HBFA17,Burkina Faso 2017,BFA
2928.0,"Canada, Government of",371747,548,HBFA17,Burkina Faso 2017,BFA
2933.0,"United States of America, Government of",4561,548,HBFA17,Burkina Faso 2017,BFA
4306.0,"Germany, Government of",2824720,548,HBFA17,Burkina Faso 2017,BFA
2917.0,"United Kingdom, Government of",1251564,541,HBDI17,Burundi 2017,BDI
4762.0,Central Emergency Response Fund,3500011,541,HBDI17,Burundi 2017,BDI
2933.0,"United States of America, Government of",12070144,541,HBDI17,Burundi 2017,BDI
2921.0,"Sweden, Government of",111769,541,HBDI17,Burundi 2017,BDI
4306.0,"Germany, Government of",580021,541,HBDI17,Burundi 2017,BDI
2924.0,"Switzerland, Government of",57204,541,HBDI17,Burundi 2017,BDI
2928.0,"Canada, Government of",579331,541,HBDI17,Burundi 2017,BDI
3049.0,World Food Programme,856000,541,HBDI17,Burundi 2017,BDI
8524.0,European Commission EuropeAid Development and Cooperation,4530340,541,HBDI17,Burundi 2017,BDI
8523.0,European Commission's Humanitarian Aid and Civil Protection Department,265111,541,HBDI17,Burundi 2017,BDI
4293.0,United Nations Population Fund,193220,541,HBDI17,Burundi 2017,BDI
4537.0,"Japan, Government of",2102000,541,HBDI17,Burundi 2017,BDI
