Country,Refugees,People in refugee-like situations,Total refugees and people in refugee-like situations,of whom: UNHCR-assisted,Asylum-seekers (pending cases),Returned refugees,"IDPs protected/ assisted by UNHCR, incl. people in IDP-like situations",Returned IDPs,Persons under UNHCR's statelessness mandate,Others of concern to UNHCR,Total population of concern
Afghanistan,2488689,12756,2501445,2328486,368957,383951,1797551,0,0,114221,5166125
Albania,11065,0,11065,0,23787,0,0,0,0,1,34853
Algeria,3726,0,3726,67,7162,5,0,0,0,7,10900
American Samoa,0,0,0,0,3,0,0,0,0,0,3
Andorra,2,0,2,0,4,0,0,0,0,0,6
Angola,8404,0,8404,939,4773,0,0,0,0,19958,33135
Anguilla,1,0,1,0,0,0,0,0,0,0,1
Antigua and Barbuda,83,0,83,0,32,0,0,0,0,0,115
Argentina,128,0,128,1,214,0,0,0,0,0,342
Armenia,10719,0,10719,48,13100,0,0,0,0,12,23831
Australia,14,0,14,0,15,0,0,0,0,0,29
Austria,6,0,6,0,6,0,0,0,0,0,12
Azerbaijan,9539,573,10112,2092,8097,0,613129,0,0,1,631339
Bahamas,299,0,299,0,121,0,0,0,0,0,420
Bahrain,462,0,462,25,95,0,0,0,0,0,557
Bangladesh,13847,3,13850,90,25931,0,0,0,0,15,39796
Barbados,148,0,148,0,45,0,0,0,0,0,193
Belarus,3840,0,3840,8,1940,0,0,0,0,0,5780
Belgium,45,0,45,0,21,0,0,0,0,1,67
Belize,57,0,57,0,160,0,0,0,0,0,217
Benin,489,0,489,8,1174,0,0,0,0,7,1670
Bermuda,0,0,0,0,2,0,0,0,0,0,2
Bhutan,11757,0,11757,10452,286,0,0,0,0,0,12043
Bolivia (Plurinational State of),537,0,537,15,422,0,0,0,0,0,959
Bosnia and Herzegovina,18199,0,18199,1742,3112,5,98324,0,0,52438,172078
Botswana,272,0,272,0,126,0,0,0,0,1,399
Brazil,809,0,809,2,3776,0,0,0,0,0,4585
British Virgin Islands,0,0,0,0,0,0,0,0,0,0,0
Brunei Darussalam,1,0,1,0,4,0,0,0,0,0,5
Bulgaria,805,0,805,1,260,0,0,0,0,1,1066
Burkina Faso,2357,0,2357,4,4212,0,0,0,0,0,6569
Burundi,408085,0,408085,399381,24400,4117,141221,0,0,164066,741889
Cabo Verde,13,0,13,0,103,0,0,0,0,0,116
Cambodia,12415,14,12429,176,383,0,0,0,0,0,12812
Cameroon,10374,0,10374,248,10928,134,198889,18213,0,27,238565
Canada,84,0,84,2,67,0,0,0,0,0,151
Cayman Islands,7,0,7,0,0,0,0,0,0,0,7
Central African Rep.,490892,0,490892,488087,10603,34403,411785,0,0,21012,968695
Chad,14193,0,14193,11322,3180,28,124342,0,0,16722,158465
Chile,498,0,498,11,205,0,0,0,0,0,703
China,207772,0,207772,279,72144,0,0,0,0,2,279918
"China, Hong Kong SAR",12,0,12,0,112,0,0,0,0,0,124
"China, Macao SAR",4,0,4,0,1,0,0,0,0,0,5
Colombia,91240,219822,311062,28154,12576,204,7410816,0,0,0,7734658
Comoros,576,0,576,0,240,0,0,0,0,0,816
"Congo, Republic of",13302,0,13302,1151,4341,11,15303,0,0,100,33057
Cook Islands,1,0,1,0,0,0,0,0,0,0,1
Costa Rica,208,0,208,1,308,0,0,0,0,0,516
Côte d'Ivoire,46813,0,46813,34109,18621,19552,0,0,0,17,85003
Croatia,26230,0,26230,8906,350,44,0,0,0,14518,41142
Cuba,4948,1000,5948,516,5027,0,0,0,0,0,10975
Curaçao ,35,0,35,0,0,0,0,0,0,0,35
Cyprus,2,0,2,0,9,0,0,0,0,0,11
Czechia,1271,0,1271,0,240,0,0,0,0,0,1511
Dem. People's Rep. of Korea,1422,0,1422,81,533,0,0,0,0,0,1955
Dem. Rep. of the Congo,537265,208,537473,465526,82572,13223,2232900,619600,0,9471,3495239
Denmark,2,0,2,0,7,0,0,0,0,1,10
Djibouti,1440,0,1440,92,840,0,0,0,0,2,2282
Dominica,24,0,24,0,123,0,0,0,0,0,147
Dominican Rep.,361,0,361,7,2350,0,0,0,0,0,2711
Ecuador,1046,0,1046,19,13699,0,0,0,0,0,14745
Egypt,19796,0,19796,284,13050,0,0,0,0,111,32957
El Salvador,19614,0,19614,1181,62167,0,0,0,0,9800,91581
Equatorial Guinea,142,0,142,8,105,0,0,0,0,0,247
Eritrea,431704,27726,459430,282125,64266,1,0,0,0,73,523770
Estonia,305,0,305,0,47,0,0,0,0,0,352
Ethiopia,83966,0,83966,40902,78054,1,0,0,0,691,162712
Fiji,792,0,792,1,514,0,0,0,0,0,1306
Finland,4,0,4,0,7,0,0,0,0,0,11
France,54,0,54,0,121,0,0,0,0,0,175
French Guiana,1,0,1,0,0,0,0,0,0,0,1
Gabon,171,0,171,4,442,1,0,0,0,0,614
Gambia,11600,0,11600,119,18907,0,0,0,0,0,30507
Georgia,6403,0,6403,290,10289,0,273765,0,0,0,290457
Germany,74,0,74,1,132,0,0,0,0,0,206
Ghana,15541,0,15541,4066,11546,0,0,0,0,4,27091
Gibraltar,1,0,1,0,0,0,0,0,0,0,1
Greece,105,0,105,0,86,0,0,0,0,1,192
Grenada,101,0,101,0,65,0,0,0,0,0,166
Guadeloupe,0,0,0,0,0,0,0,0,0,0,0
Guatemala,12554,0,12554,66,46227,0,0,0,0,0,58781
Guinea,17548,0,17548,211,24397,0,0,0,0,1,41946
Guinea-Bissau,1653,0,1653,21,1882,0,0,0,0,0,3535
Guyana,272,0,272,0,300,0,0,0,0,0,572
Haiti,29684,0,29684,619,22459,0,0,0,0,22930,75073
Holy See (the),0,0,0,0,0,0,0,0,0,0,0
Honduras,10507,0,10507,589,35203,0,174000,0,0,4800,224510
Hungary,2909,0,2909,1,1663,0,0,0,0,3,4575
Iceland,0,0,0,0,3,0,0,0,0,0,3
India,7291,0,7291,15,27782,0,0,0,0,264,35337
Indonesia,8321,4743,13064,780,3586,0,0,0,0,3,16653
Iran (Islamic Rep. of),93760,334,94094,15959,87491,11,0,0,0,273,181869
Iraq,307986,8044,316030,131365,278329,157,3604285,1397016,0,15778,5611595
Ireland,5,0,5,0,41,0,0,0,0,0,46
Israel,495,0,495,2,550,0,0,0,0,0,1045
Italy,51,0,51,1,145,0,0,0,0,0,196
Jamaica,2005,0,2005,13,1144,0,0,0,0,0,3149
Japan,59,0,59,0,81,0,0,0,0,0,140
Jordan,1933,0,1933,127,2438,0,0,0,0,131,4502
Kazakhstan,2364,0,2364,17,2237,0,0,0,0,0,4601
Kenya,7534,1,7535,3548,3550,4,0,0,0,23,11112
Kiribati,1,0,1,0,0,0,0,0,0,0,1
Kuwait,1021,0,1021,28,654,0,0,0,0,0,1675
Kyrgyzstan,2573,0,2573,242,2370,0,0,0,0,0,4943
Lao People's Dem. Rep.,7232,0,7232,2,170,0,0,0,0,0,7402
Latvia,172,0,172,7,98,0,0,0,0,0,270
Lebanon,4740,0,4740,142,8490,0,0,0,0,0,13230
Lesotho,12,0,12,0,698,0,0,0,0,0,710
Liberia,6566,7,6573,3193,2626,0,0,0,0,110,9309
Libya,8836,0,8836,862,6516,0,174510,449840,0,6,639708
Liechtenstein,0,0,0,0,0,0,0,0,0,0,0
Lithuania,73,0,73,4,79,0,0,0,0,0,152
Luxembourg,2,0,2,0,0,0,0,0,0,0,2
Madagascar,297,0,297,1,54,0,0,0,0,4,355
Malawi,427,0,427,2,3752,0,0,0,0,0,4179
Malaysia,456,0,456,0,6165,0,0,0,0,0,6621
Maldives,57,0,57,11,39,0,0,0,0,0,96
Mali,156428,0,156428,139162,9708,9758,36690,35986,0,23,248593
Malta,0,0,0,0,1,0,0,0,0,0,1
Marshall Islands,3,0,3,0,0,0,0,0,0,0,3
Mauritania,36266,0,36266,29006,7393,0,0,0,0,4,43663
Mauritius,111,0,111,0,203,0,0,0,0,0,314
Mexico,10385,0,10385,22,64269,0,0,0,0,0,74654
Micronesia (Federated States of),0,0,0,0,0,0,0,0,0,0,0
Monaco,3,0,3,0,1,0,0,0,0,0,4
Mongolia,2285,0,2285,0,3816,0,0,0,0,2,6103
Montenegro,718,0,718,4,1130,0,0,0,0,0,1848
Morocco,2262,0,2262,56,7202,0,0,0,0,9,9473
