#{"source_key": "HNO", "source_url": "https://www.humanitarianresponse.info/", "source_date": "2017", "extract_date": "2017-06-01", "update_frequency": "Every year", "additional_metadata": {"Note on data": "List of sources that include a variety of 2017 UNOCHA publications including Humanitarian Needs Overviews, Response Plans, Flash Appeals, Needs and Priorites, and Humanitarian Requirements Documents."}}
Appeal Name,Type,Appeal_Code,PDF_link,PDF_subnational,HDX_link,HDX_subnational,Other_Data_link,Other_Data_subnational
Afghanistan 2017,Humanitarian needs overview,1,https://www.humanitarianresponse.info/system/files/documents/files/afg_2017_hno_english.pdf,Yes,N/a,N/a,N/a,N/a
Afghanistan 2017,Humanitarian response plan,2,https://www.humanitarianresponse.info/system/files/documents/files/afg_2017_humanitarian_response_plan_english.pdf,Yes,N/a,N/a,N/a,N/a
Burkina Faso 2017,Humanitarian needs overview,3,http://reliefweb.int/sites/reliefweb.int/files/resources/burkina_2017_hno_17fev.pdf,Yes,https://data.humdata.org/dataset/burkina-faso-humanitarian-needs-overview,Yes,N/a,N/a
Burkina Faso 2017,Plan d'urgence et resilience,,N/a,N/a,N/a,N/a,https://www.humanitarianresponse.info/system/files/documents/files/hwp_2017_burkina.pdf,Yes
Burundi 2017,Humanitarian needs overview,4,https://www.humanitarianresponse.info/system/files/documents/files/hno_burundi_2017_fr_small.pdf,Yes,N/a,N/a,N/a,N/a
Burundi 2017,Humanitarian response plan,5,https://www.humanitarianresponse.info/system/files/documents/files/hrp_burundi_2017_fr_small.pdf,Yes,N/a,N/a,N/a,N/a
Cameroon 2017,Humanitarian needs overview,6,https://drive.google.com/file/d/0B-omYVl2EUDiRjZsbHNWNkd6ZE0/view,Yes,https://data.humdata.org/dataset/humanitarian-needs-overview-cameroon-2017,Yes,N/a,N/a
Cameroon 2017,Humanitarian response plan,7,https://www.humanitarianresponse.info/system/files/documents/files/2017_hrp_cmr_2.pdf,Yes,N/a,N/a,N/a,N/a
Central African Republic 2017,Humanitarian needs overview,8,https://drive.google.com/file/d/0B-omYVl2EUDiUXVMSHBBX3h3QzA/view,Yes,https://data.humdata.org/dataset/republique-centre-africaine-humanitarian-needs-overview,Yes,N/a,N/a
Central African Republic 2017,Humanitarian response plan,9,http://reliefweb.int/sites/reliefweb.int/files/resources/rca_ocha_2016_hrp.pdf,Yes,N/a,N/a,N/a,N/a
